"name","address","img","map"
"","","",""
"","","",""
"","","",""
"Azalea Park View Hotel","โรงแรม 4 ดาว","https://lh3.googleusercontent.com/gps-proxy/AMy85WINJxWpuaFc5KROM9464WHcPIPa4U987dp2jJOMsVXa79X6NMqPHSrasOtKHrElfsKlM_Coje5sDIVzLBJhy_jD7cvfoMquwwVIFFE2_REjKHk0PWeE3sssSvjrTxQmhDcQJhdL_tKnLKHb7HL3R3bBaENYXdn88A80sdSmgDC29reuiBRdBPKF=w80-h105-k-no","฿1,110"
"Somerset Vientiane","โรงแรม 4 ดาว","https://lh5.googleusercontent.com/p/AF1QipPKVnHoj7Cq_DsAHFv2UyqUEOpzk1Tqh1fIAKw=w138-h92-k-no","฿2,934"
"โรงแรมหนองคายธาวิลล่า","โรงแรม 3 ดาว","https://lh3.googleusercontent.com/gps-proxy/AMy85WKr4d8vtYL39rAa2MYPZOv9V7N5QaaanZqJB5LyvD74u2AP8wexe2enEphpy5ipcb3vd8vM7YU8j65JvVOq6gm8GXtWQgWEEumRLbhNqQSftSJEuhyhzTJ_XEVmcv4ulOT9VizvrRSSY6sVXkaAeZsO-hILAd4ysKwvcPI35qchJuKpJ7DuYPLX=w138-h92-k-no","฿675"
"ศิลป์โสภา Silsopa Hostel","โรงแรม 2 ดาว","https://lh5.googleusercontent.com/p/AF1QipNHkWI4DopvUu906oSKrUBgXt0BWnCBzgTvgfon=w138-h92-k-no","฿565"
"Bannraiphontawan","เกสท์เฮ้าส์","https://lh3.googleusercontent.com/gps-proxy/AMy85WJzkItDwD-BzcYBRudjmgqFL5gIrvuN3SA3HfAn-aT48zkortv2RnWYh9MSm4ieQejOeQ5Js-rXtaJtU9glaes7IeZZA5qnYqk3X-yWR4Mz6RSclRnJL5kP0D5yaMLbHF15kra9TicnG1hQRoGvLV1Q0l81pVdN-J-sSqRxQ34l45NxyyCIKnk45w=w138-h92-k-no","฿950"
"The Garden Resort Nongkhai","โรงแรม 3 ดาว","https://lh3.googleusercontent.com/gps-proxy/AMy85WL0lw88B50h4rc7h38BBpwpKTwP0vZKvPBf6hMqDKUuH7bWjXW1zSMI47ekQ0ocbQ9fMqT4oXSJ740-ZNHs3dCFJX8tqA3ueN56nd0UjQK6zrrxDriF5zse6gURYb_8rBfYgVEnbFS57Fqjth_YIryi_N1YZO_S0NkZ9Dodjr5BHZoactj4-8AKxA=w163-h92-k-no",""
"โรงแรมสามออร์ริเวอร์ไซด์","โรงแรม 3 ดาว","https://lh5.googleusercontent.com/p/AF1QipOON-AFayDPJ7kHD4aOBhjfooLUbomS8tw6Cx2G=w127-h92-k-no",""
"โรงแรมช่อฟ้า แกลเลอรี่ หนองคาย - Sofa Gallery Hotel","โรงแรม 2 ดาว","https://lh5.googleusercontent.com/p/AF1QipM7c5kEZCrBV6DXW86Xw7S0ArE1IcPWArIyo6tV=w122-h92-k-no",""
"ที่พักริมโขง""แม่โขง ธาราวดี วิลล่า""","โรงแรม","https://lh5.googleusercontent.com/p/AF1QipOhdlJiS4cFx6Cz2ezdmaxXzaVSAcw_QeZQvQ8k=w138-h92-k-no",""
"คอนเทนเนอร์ โมเทล รีสอร์ท","รีสอร์ท","https://lh5.googleusercontent.com/p/AF1QipP0qjqlIGcftqhIRM5H4a9xihkgkc9tHBXozKAa=w122-h92-k-no",""
"บ้านวาสรีสอร์ท โพนพิสัย (Banwas Resort Phonphisai)","โรงแรม 3 ดาว","https://lh5.googleusercontent.com/p/AF1QipOnCdAYBJdZTzv0XOj2O9BSNUJ_BV_l7bFvOuaG=w92-h92-k-no",""
"พรทิพย์รีสอร์ท","โรงแรม 3 ดาว","https://lh5.googleusercontent.com/p/AF1QipNiUC4JuRrcD2wcHYCYcjwU7uJZpvLfryTpyrch=w123-h92-k-no",""
"โรงแรมรื่นรมย์","โรงแรม","https://lh5.googleusercontent.com/p/AF1QipNKohIVwdTdSIpXrzIaoIoPGTOHjV8sBAnofa4v=w122-h92-k-no",""
"โรงแรมพิกุลทอง","โรงแรม","https://lh5.googleusercontent.com/p/AF1QipNlwX-GMx__0CzZn1ofYaCMEDPUqjN1Cl92yJfq=w199-h92-k-no",""
"ปากโสมรีสอร์ท","รีสอร์ท","https://lh5.googleusercontent.com/p/AF1QipPTrF1Q124C7f17IgXYxLh6_ROt_4fMWRzOXmbW=w163-h92-k-no",""
"Pra Rin Hotel","โรงแรม","https://lh5.googleusercontent.com/p/AF1QipOfrgo35vBI9d20NlVylt0xcvTon5WXB0ZvM03H=w163-h92-k-no",""
"","","",""